institution,school_type,state,testing_info_link,rtc_model,last_updated,testing,testing_type,test_initial,test_recurring,test_freq,test_vendor,test_pool,endowment,enrollment,endowment_per_fte_enrollment
University of Louisiana system — Northwestern State University,Public,LA,,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
University of Louisiana system — Southeastern Louisiana University,Public,LA,http://www.southeastern.edu/about/safe_campus/covid-19/assets/safe-campus-2020.pdf,Planning for in-person,8/1/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,#N/A,#N/A,#N/A
University of Louisiana system — University of Louisiana at Lafayette,Public,LA,https://louisiana.edu/covid19,Planning for in-person,8/1/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
University of Louisiana system — University of Louisiana at Monroe,Public,LA,https://www.ulm.edu/coronavirus/,Planning for in-person,8/1/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
University of Louisiana system — University of New Orleans,Public,LA,https://www.uno.edu/covid-19/faqs,Planning for in-person,8/1/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
University of Louisville,Public,KY,http://louisville.edu/coronavirus/assets/pivot-to-fall-2020,Proposing a hybrid model,7/27/2020,TRUE,Both asymptomatic and symptomatic,FALSE,FALSE,0,,,712295000,21430,39187
University of Lynchburg,Private,VA,https://www.lynchburg.edu/about/covid-19/messages-from-president-garren/,Planning for in-person,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,,,109661075,3081,38464
University of Maine — all system campuses,Public,ME,https://www.maine.edu/together/wp-content/uploads/sites/101/2020/07/Together-for-Maine-Principles-JULY-1-2020.pdf,Proposing a hybrid model,7/27/2020,TRUE,Both asymptomatic and symptomatic,TRUE,TRUE,,The Jackson Laboratory and ConvenientMD,,#N/A,#N/A,#N/A
University of Maine — Augusta,Public,ME,https://www.uma.edu/return/,Proposing a hybrid model,8/1/2020,Unknown,Unknown,Unknown,Unknown,,,,#N/A,#N/A,#N/A
University of Maine — Farmington,Public,ME,,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
University of Maine — Fort Kent,Public,ME,,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
University of Maine — Machias,Public,ME,,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
University of Maine — Presque Isle,Public,ME,,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
University of Maine — University of Southern Maine,Public,ME,,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
University of Mary,Private,ND,https://news.umary.edu/university-of-mary-announces-intention-to-resume-on-campus-classes-in-september/,Planning for in-person,,,,,,,,,54459778,3796,16538
