NCES,District,State,Public School Enrollment,Last verified,District reopening plan,Start date,Link
0616050,Greenfield Union,CA,"9,562",8/13/20,Remote learning only,8/12/20,"<a href=""http://www.gfusd.net/"" target=""_blank"">🔗</a>"
3602460,Albany City School District,NY,"9,539",9/11/20,Remote learning only,9/9/20,"<a href=""https://www.albanyschools.org/"" target=""_blank"">🔗</a>"
0102070,Lee County,AL,"9,514",8/17/20,Remote learning only,8/17/20,"<a href=""https://www.lee.k12.al.us/"" target=""_blank"">🔗</a>"
3704950,Wilkes County Schools,NC,"9,434",8/17/20,Remote learning only,8/17/20,"<a href= ""https://www.wilkescountyschools.org/"" target=""_blank"">🔗</a>"
2633870,Traverse City Area Public Schools,MI,"9,433",9/9/20,Remote learning only,9/8/20,"<a href= ""https://www.tcaps.net/"" target=""_blank"">🔗</a>"
1300780,Camden County,GA,"9,350",8/21/20,Full in-person reopening available for all students,8/3/20,"<a href= ""http://www.camden.k12.ga.us/"" target=""_blank"">🔗</a>"
2802160,Jackson Co School Dist,MS,"9,209",8/25/20,Full in-person reopening available for all students,8/6/20,"<a href= ""https://www.jcsd.ms/"" target=""_blank"">🔗</a>"
4810710,Boerne ISD,TX,"9,170",8/13/20,Full in-person reopening available for all students,8/12/20,"<a href=""https://www.boerneisd.net/site/default.aspx?PageID=11958"" target=""_blank"">🔗</a>"
4700153,Bartlett City Schools,TN,"9,162",8/17/20,Full in-person reopening available for all students,8/17/20,"<a href=""https://www.bartlettschools.org/apps/news/article/1256433"" target=""_blank"">🔗</a>"
4207110,Cumberland Valley Sd,PA,"9,151",8/31/20,Hybrid/Partial,8/31/20,"<a href=""http://www.cvschools.org/about_us/back_to_school_blueprint_-_2020-21"" target=""_blank"">🔗</a>"
4700149,Collierville,TN,"9,096",8/17/20,Hybrid/Partial,8/17/20,"<a href=""https://4.files.edl.io/db24/07/24/20/224455-747e73aa-8dcc-4854-adcf-0e950ba1e162.pdf"" target=""_blank"">🔗</a>"
0901710,Greenwich School District,CT,"9,074",9/11/20,Hybrid/Partial,9/9/20,"<a href=""https://www.greenwichschools.org/district-information/return-to-school-planning-team-2020"" target=""_blank"">🔗</a>"
3200300,Lyon County School District,NV,"9,066",9/1/20,Hybrid/Partial,9/1/20,"<a href=""https://www.lyoncsd.org/quick-links-d98290ba/coronavirus-2019-covid-19-28dd9021"" target=""_blank"">🔗</a>"
5400570,Jefferson County Schools,WV,"9,055",9/9/20,Hybrid/Partial,9/8/20,"<a href=""http://jeff.ss18.sharpschool.com/cms/One.aspx?portalId=481615&pageId=30596097"" target=""_blank"">🔗</a>"
5400840,Mercer County Schools,WV,"9,004",9/9/20,Remote learning only,9/8/20,"<a href=""https://boe.merc.k12.wv.us/"" target=""_blank"">🔗</a>"
4502340,Greenwood 50,SC,"8,887",8/24/20,Full in-person reopening available for all students,8/24/20,"<a href=""https://www.gwd50.org/"" target=""_blank"">🔗</a>"
0200390,Kenai Peninsula Borough School District,AK,"8,852",8/24/20,Hybrid/Partial,8/24/20,"<a href=""https://www.kpbsd.k12.ak.us/content.aspx?id=41923"" target=""_blank"">🔗</a>"
